曲柄转角(度),时间(s),滑块6位移(mm),滑块6速度(mm/s),滑块6加速度(mm/s²)
0.0,0.0,-144.7746158732488,-151.93600822354398,-307.36482662702826
1.0027855153203342,0.0034108350861235858,-145.2914050168663,-152.98146681751345,-470.15385642658197
2.0055710306406684,0.0068216701722471716,-145.81530612370807,-155.1343337774663,-651.0273727286288
3.0083565459610027,0.010232505258370758,-146.34674062079463,-157.41022445512317,-686.9217698543333
4.011142061281337,0.013643340344494343,-146.88612397714428,-159.80727098735971,-722.233327478746
5.01392757660167,0.017054175430617928,-147.43386491322565,-162.3233763427337,-756.895688148408
6.016713091922005,0.020465010516741516,-147.99036463253702,-164.9562212468727,-790.8446496859896
7.0194986072423395,0.0238758456028651,-148.55601607817036,-167.70327191882888,-824.0183946395942
8.022284122562674,0.027286680688988686,-149.13120321701888,-170.56178855734612,-856.3577009526534
9.025069637883007,0.03069751577511227,-149.71630035407068,-173.5288345103435,-887.8061322338352
10.02785515320334,0.034108350861235856,-150.311671478994,-176.6012860555355,-918.3102063056756
11.030640668523676,0.037519185947359444,-150.9176696469655,-179.77584271650457,-947.8195410369107
12.03342618384401,0.04093002103348303,-151.53463639543278,-183.04903803537843,-976.2869767579812
13.036211699164344,0.044340856119606614,-152.16290119822656,-186.4172507216609,-1003.6686749388291
14.038997214484679,0.0477516912057302,-152.8027809581652,-189.87671609618678,-1029.9241930240298
15.04178272980501,0.051162526291853784,-153.45457953901695,-193.42353774903526,-1055.0165356927541
16.044568245125348,0.05457336137797737,-154.11858733741033,-197.0536993321919,-1078.912183109746
17.04735376044568,0.05798419646410096,-154.79508089501826,-200.76307640964578,-1101.5810968906374
18.050139275766014,0.06139503155022454,-155.4843225510814,-204.54744829063162,-1122.9967048359963
19.05292479108635,0.06480586663634813,-156.1865601350906,-208.40250977587704,-1143.1358656564403
20.05571030640668,0.06821670172247171,-156.9020266992166,-212.3238827508795,-1161.9788150532925
21.058495821727018,0.07162753680859531,-157.63094028985847,-216.30712756535522,-1179.5090947099839
22.06128133704735,0.07503837189471889,-158.37350375748431,-220.34775414346444,-1195.7134657949907
23.064066852367684,0.07844920698084247,-159.1299046037596,-224.44123277484496,-1210.581808702442
24.06685236768802,0.08186004206696607,-159.9003148647962,-228.58300454280078,-1224.1070107805301
25.069637883008355,0.08527087715308965,-160.6848910292208,-232.76849135158326,-1236.2848437630648
26.072423398328688,0.08868171223921323,-161.4837739896369,-236.99310552078083,-1247.113832689091
27.07520891364902,0.09209254732533682,-162.29708902596082,-241.2522589208968,-1256.595118006113
28.077994428969358,0.0955033824114604,-163.12494581903076,-245.54137162966595,-1264.7323124781137
29.080779944289695,0.098914217497584,-163.9674384928293,-249.8558800942173,-1271.5313544697642
30.08356545961002,0.10232505258370757,-164.82464568361726,-254.1912447893242,-1277.0003590882284
31.086350974930358,0.10573588766983115,-165.69663063425327,-258.5429573669263,-1281.1494685489238
32.089136490250695,0.10914672275595474,-166.5834413119637,-262.90654729645973,-1283.990702989253
33.09192200557103,0.11255755784207834,-167.48511054783464,-267.2775879995063,-1285.5378128897244
34.09470752089136,0.11596839292820192,-168.4016561963141,-271.65170248618574,-1285.806134115503
35.097493036211695,0.11937922801432549,-169.3330813130468,-276.0245685036934,-1284.812446422817
36.10027855153203,0.12279006310044908,-170.27937434940043,-280.3919232101505,-1282.57483623573
37.10306406685236,0.12620089818657268,-171.24050936209542,-284.74956738965074,-1279.112564328406
38.1058495821727,0.12961173327269626,-172.21644623640486,-289.09336922599,-1274.4459389245578
39.108635097493035,0.13302256835881984,-173.2071309214559,-293.4192676544437,-1268.5961946517928
40.11142061281336,0.13643340344494342,-174.21249567623101,-297.7232753120566,-1261.5853776652211
41.1142061281337,0.139844238531067,-175.23245932493927,-302.00148110794856,-1253.4362371634395
42.116991643454035,0.14325507361719061,-176.26692752050278,-306.2500524356174,-1244.1721234545453
43.11977715877437,0.1466659087033142,-177.3157930149775,-310.4652370498162,-1233.8168926160963
44.1225626740947,0.15007674378943778,-178.37893593580765,-314.64336463028474,-1222.3948177375134
45.12534818941504,0.15348757887556136,-179.4562240668842,-318.7808480548333,-1209.9305067245066
46.12813370473537,0.15689841396168494,-180.54751313345957,-322.8741844039208,-1196.448826503787
47.1309192200557,0.16030924904780852,-181.65264709004012,-326.91995571812436,-1181.9748334628962
48.13370473537604,0.16372008413393213,-182.77145841045362,-330.9148295295188,-1166.5337099632807
49.136490250696376,0.1671309192200557,-183.90376837935656,-334.8555591872623,-1150.1507066928311
50.13927576601671,0.1705417543061793,-185.04938738451662,-338.73898399681696,-1132.8510905566468
51.14206128133704,0.17395258939230288,-186.20811520926688,-342.5620291910491,-1114.6600978769056
52.144846796657376,0.17736342447842646,-187.37974132459178,-346.3217057510816,-1095.602892638714
53.14763231197771,0.18077425956455004,-188.56404518036268,-350.01511009335326,-1075.704529432702
54.15041782729804,0.18418509465067365,-189.76079649529487,-353.6394236383789,-1054.9899208400661
55.15320334261838,0.18759592973679723,-190.96975554524963,-357.1919122759387,-1033.4838089525401
56.155988857938716,0.1910067648229208,-192.19067344955295,-360.66992574009686,-1011.2107407218145
57.15877437325904,0.1944175999090444,-193.42329245504618,-364.0708969066994,-988.195046878811
58.16155988857939,0.197828434995168,-194.66734621762575,-367.39234102498676,-964.460824119309
59.16434540389971,0.20123927008129155,-195.9225600810665,-370.63185489390554,-940.0319202859963
60.16713091922004,0.20465010516741514,-197.18865135295843,-373.7871159929187,-914.9319222957562
61.16991643454038,0.20806094025353872,-198.46532957761698,-376.8558815761896,-889.1841465456846
62.172701949860716,0.2114717753396623,-199.75229680585767,-379.8359877381274,-862.8116315875219
63.17548746518105,0.2148826104257859,-201.04924786154982,-382.72534845773737,-835.8371328358759
64.17827298050139,0.2182934455119095,-202.3558706048899,-385.5219546281674,-808.2831190703613
65.18105849582172,0.22170428059803307,-203.67184619235368,-388.22387307726365,-780.171770588308
66.18384401114206,0.22511511568415668,-204.99684933330667,-390.82924558455045,-751.5249787777243
67.1866295264624,0.22852595077028026,-206.33054854326897,-393.3362878988808,-722.364346960574
68.18941504178272,0.23193678585640384,-207.67260639384327,-395.743288761153,-692.7111923708187
69.19220055710306,0.23534762094252745,-209.02267975933125,-398.048608935417,-662.5865490609042
70.19498607242339,0.23875845602865098,-210.3804200600706,-400.25068025136324,-632.0111716641151
71.19777158774372,0.2421692911147746,-211.7454735025378,-402.3480046610232,-601.0055398646829
72.20055710306406,0.24558012620089817,-213.11748131626803,-404.3391533116672,-569.5898634622049
73.2033426183844,0.24899096128702175,-214.4960799876512,-406.2227656369566,-537.7840879543464
74.20612813370472,0.25240179637314536,-215.8809014906691,-407.99754846781923,-505.6079005111317
75.20891364902506,0.2558126314592689,-217.27157351464317,-409.66227516424317,-473.0807362875296
76.2116991643454,0.2592234665453925,-218.6677196890653,-411.2157847690949,-440.2217849945364
77.21448467966573,0.26263430163151613,-220.06895980558937,-412.6569811846142,-407.04999766278866
78.21727019498607,0.2660451367176397,-221.47491003725997,-413.98483237224315,-373.58409354889716
79.2200557103064,0.2694559718037633,-222.88518315506042,-415.1983695761033,-339.84256712880864
80.22284122562672,0.27286680688988685,-224.2993887418593,-416.2966865703983,-305.8436951282716
81.22562674094706,0.27627764197601046,-225.71713340383863,-417.2789389307174,-271.605543561756
82.2284122562674,0.279688477062134,-227.13802097948323,-418.1443433293218,-237.1459747671791
83.23119777158773,0.2830993121482576,-228.56165274621497,-418.8921768543036,-202.48265436558168
84.23398328690807,0.28651014723438123,-229.98762762475062,-419.52177635221693,-167.63305816034648
85.2367688022284,0.2899209823205048,-231.4155423812641,-420.0325377941699,-132.61447894277063
86.23955431754874,0.2933318174066284,-232.84499182743204,-420.42391566475277,-97.44403318668448
87.24233983286908,0.29674265249275195,-234.27556901843926,-420.6954223736712,-62.138667642342206
88.2451253481894,0.30015348757887556,-235.70686544902165,-420.84662768953064,-26.715165779749082
89.24791086350974,0.30356432266499916,-237.13847124761975,-420.8771581953021,8.809845878964328
90.25069637883009,0.3069751577511227,-238.56997536871756,-420.78669676518393,44.41989156391562
91.2534818941504,0.31038599283724627,-240.00096578343732,-420.5749820622143,80.09864021478955
92.25626740947074,0.3137968279233699,-241.43102966846052,-420.2418080562398,115.82989955808664
93.25905292479108,0.3172076630094935,-242.85975359334373,-419.7870235618191,151.5976103205806
94.2618384401114,0.32061849809561704,-244.28672370629604,-419.21053179555554,187.38584059383658
95.26462395543174,0.32402933318174065,-245.71152591848355,-418.51228995233726,223.1787803205438
96.26740947075209,0.32744016826786426,-247.1337460869242,-417.6923088001777,258.9607358917852
97.27019498607241,0.3308510033539878,-248.55297019603577,-416.75065229320944,294.716124908024
98.27298050139275,0.3342618384401114,-249.9687845378984,-415.68743720216395,330.42947104990964
99.27576601671309,0.337672673526235,-251.3807758912886,-414.5028327622577,366.0853990593597
100.27855153203342,0.3410835086123586,-252.7885316995464,-413.19706033781455,401.66862988324044
101.28133704735376,0.3444943436984822,-254.19164024732817,-411.77039310318804,437.16397592978007
102.28412256267409,0.34790517878460575,-255.5896908363028,-410.2231557396528,472.5563364671317
103.28690807799441,0.3513160138707293,-256.9822739598428,-408.5557241476293,507.8306931934702
