曲柄转角(度),时间(s),工作阻力(N),O1水平反力(N),O1垂直反力(N),O1反力大小(N),O2水平反力(N),O2垂直反力(N),O2反力大小(N),平衡力矩(N·m)
0.0,0.0,0.0,-0.011987228238454101,-446.35499999999996,446.35500016096336,-0.007991485492302735,-191.295,191.295000166925,0.0
1.0027855153203342,0.0034108350861235858,154.00893574729332,-92.42369744877662,-446.35499999999996,455.8233494185033,-61.61579829918442,-191.295,200.9733405828887,0.2210156463387661
2.0055710306406684,0.0068216701722471716,307.9706971719126,-184.80780837068397,-446.35499999999996,483.10114061113063,-123.20520558045598,-191.295,227.53746879826718,0.8837918097678886
3.0083565459610027,0.010232505258370758,461.83812440110324,-277.12966458968623,-446.35499999999996,525.3890339744369,-184.75310972645752,-191.295,265.94640170266723,1.9875164952644286
4.011142061281337,0.013643340344494343,615.5640864575233,-369.3666189742857,-446.35499999999996,579.3655885859076,-246.2444126495238,-191.295,311.8173949383019,3.530837483179022
5.01392757660167,0.017054175430617928,769.1014956958863,-461.4904163493696,-446.35499999999996,642.0328577318411,-307.6602775662464,-191.295,362.28251878491153,5.511863985897189
6.016713091922005,0.020465010516741516,922.4033222263308,-553.4728362771363,-446.35499999999996,711.0309181193584,-368.98189085142417,-191.295,415.62171839461456,7.9281689643229685
7.0194986072423395,0.0238758456028651,1075.422608320097,-645.2857017094491,-446.35499999999996,784.618648042255,-430.19046780629947,-191.295,470.805284184877,10.776792101346825
8.022284122562674,0.027286680688988686,1228.1124827931042,-736.9008876261997,-446.35499999999996,861.5426305234588,-491.2672584174665,-191.295,527.1975874546599,14.054243428654988
9.025069637883007,0.03069751577511227,1380.4261753630149,-828.290329656966,-446.35499999999996,940.9025753117298,-552.1935531046441,-191.295,584.3898502843213,17.756507602436773
10.02785515320334,0.034108350861235856,1532.3170309753918,-919.426032683281,-446.35499999999996,1022.045505640878,-612.9506884555207,-191.295,642.1077195479718,21.879048822751557
11.030640668523676,0.037519185947359444,1683.7385240945646,-1010.2800794188391,-446.35499999999996,1104.4902104118153,-673.5200529458929,-191.295,700.1592952644693,26.416816390528602
12.03342618384401,0.04093002103348303,1834.644272954815,-1100.8246389649826,-446.35499999999996,1187.8752761874389,-733.8830926433218,-191.295,758.4050175814546,31.364250895391358
13.036211699164344,0.044340856119606614,1984.9880537675317,-1191.0319753388417,-446.35499999999996,1271.923721103016,-794.0213168925611,-191.295,816.7396333623077,36.71529102672554
14.038997214484679,0.0477516912057302,2134.723814879975,-1280.874455971513,-446.35499999999996,1356.4188726146947,-853.9163039810088,-191.295,875.0810426638133,42.46338099964644
15.04178272980501,0.051162526291853784,2283.8056908813073,-1370.3245601736764,-446.35499999999996,1441.1877692515227,-913.549706782451,-191.295,933.3631896466146,48.6014785867672
16.044568245125348,0.05457336137797737,2432.1880166515857,-1459.3548875660927,-446.35499999999996,1526.0896021820092,-972.9032583773951,-191.295,991.5314050429025,55.12206374592876
17.04735376044568,0.05798419646410096,2579.825341349395,-1547.9381664724156,-446.35499999999996,1611.0075584077758,-1031.9587776482772,-191.295,1049.5392778692594,62.017147833320315
18.050139275766014,0.06139503155022454,2726.672442333852,-1636.0472622717998,-446.35499999999996,1695.8429851882076,-1090.6981748478665,-191.295,1107.3465065829519,69.27828339070386
